A* Capital,Venture Fund,"SeedSeries A,Series BSeries C,Series D",www.a-star.co,"FinTech, SaaS, Cryptocurrency, Blockchain, Advertising, AdTech, Big Data, Analytics, PropTech, Manufacturing, Artificial Intelligence, Machine Learning, AI, ML, Virtual Reality, AR/VR, Developer Tools, AgTech, FarmTech, AudioTech, B2C, Beauty, B2B, Bio, Tech, Black, African, American, Founded, Cannabis, ClimateTech, CleanTech, Productivity, CloudTech, Cloud, Security, Construction, Infrastructure, Consumer, Creator Economy, CRM, Hardware, Cybersecurity, Wearables, Quantified Self, Customer Service, D2C, DeepTech, Healthcare, Entertainment, Media, E-Commerce, EdTech, HR Tech, Energy, Enterprise, E-Sports, Gaming, Events, FemTech, Food and Beverage, RestaurantTech, Future of Work, GovTech, Impact Investing, Information Technology, InsurTech, IoT, Internet of Things, Telecommunications, TMT, Mobile, Legal Tech, Life Science, Marketing, MarTech, Logistics, Marketplace, Meeting Software, Micro-Mobility, Network Security, Neuroscience, Oil & Gas, Travel, PaaS, PetTech, Pharmaceuticals, Recruiting, RetailTech, Robotics, Sales, Ridesharing, Sharing Economy, Social Media, Sports, Supply Chain, Sustainability, Women-Founded, Transportation, SpaceTech, Software"
AAF Management Ltd.,Venture Fund,"Pre-SeedSeed,Series A",www.aaf.vc,"Advertising, AdTech, Big Data, Analytics, Marketing, MarTech, Software, Healthcare, Artificial Intelligence, Machine Learning, AI, ML, Cryptocurrency, Blockchain, FinTech, Consumer, E-Sports, Gaming, Developer Tools, Information, Technology"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
ABB,Corporate VC,Series CSeries D,https://global.abb/group/en,"CloudTech, Hardware, Information Technology, IoT, Internet of Things, Software"
AbbVie,Corporate VC,"Series CSeries D,Series B",http://www.abbvie.com,"BioTech, Healthcare"
AbCellera Biologics,Venture Fund,"Series BSeries C,Series D",https://www.abcellera.com/,"BioTech, PetTech"
Aberdare Ventures,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.aberdare.com,"Healthcare, InsurTech"
Abingworth,Venture Fund,"SeedSeries A,Series BSeries C,Series D",http://www.abingworth.com,"BioTech, Healthcare"
Able Partners,Venture Fund,"Pre-SeedSeed,Series A",www.ablepartners.nyc,"Consumer, E-Commerce, Artificial Intelligence, Machine Learning, AI, ML, BioTech, Healthcare, Life Science, Parenting, EdTech, Professional Services, Community, PaaS, CRM, Information Technology, Software, Health, Wellness"
ABRY Partners,Venture Fund,"SeedSeries A,Series B",http://www.abry.com,"BioTech, Health & Wellness, Healthcare, GovTech, SaaS, Software, Entertainment, Media"
ABS Capital Partners,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.abscapital.com,"Advertising, AdTech, Big Data, Analytics, Marketing, MarTech, Software, Creator Economy, B2B, Entertainment, Media, E-Commerce, Marketplace, Mobile, CloudTech, Cybersecurity, Information Technology, Transportation"
Abstract,Corporate VC,Pre-SeedSeed,https://www.abstract.com/,"Collaboration, CRM, Productivity, Software"
Acacia Venture Partners,Venture Fund,"Pre-SeedSeed,Series A",www.acaciavp.com,"Software, Mobile, SaaS, Consumer, FinTech"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Academy Investor Network,Venture Fund,"SeedSeries A,Series CSeries D,Series B","https://www.academyinvesto
r.com/","Manufacturing, Artificial Intelligence, Machine Learning, AI, ML, ClimateTech, CleanTech, CloudTech, Cybersecurity, Healthcare, E-Commerce, IoT, Internet of Things, Life Science, Robotics, SaaS, SpaceTech, Virtual Reality, AR/VR"
Accel,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.accel.com,"Professional Services, Enterprise, Information Technology, Risk Management, FinTech, InsurTech, Big Data, Analytics, Marketing, MarTech, Mobile, SaaS, Artificial Intelligence, Machine Learning, AI, ML, B2B, CRM, Sales, Software, EdTech, Community, Entertainment, Media, CloudTech, Cybersecurity, Collaboration, Consumer, Beauty, E-Commerce, Events, Sports, Productivity, Supply Chain, Tech, Developer Tools, Marketplace, HR Tech, Legal Tech, Creator Economy, Healthcare, PoS, Point of Sale, Cryptocurrency, Blockchain, Emerging Markets, Quality Assurance, RetailTech, Travel, Privacy, AudioTech, PropTech, E-Sports, Gaming, PaaS, Transportation, Hardware, Manufacturing, Computer, CMS, Virtual Reality, AR/VR, Advertising, AdTech, Robotics, Logistics, Health & Wellness, Food and Beverage, Telecommunications, TMT, Fashion, Hospitality, Infrastructure, SpaceTech"
Accel India,Venture Fund,"SeedSeries A,Series BSeries C,Series D",https://www.accel.com/,"PropTech, Artificial Intelligence, Machine Learning, AI, ML, Software, FinTech"
"AccelFoods, LLC",Venture Fund,"Pre-SeedSeed,Series A",www.afventures.vc,"Software, Mobile, SaaS, Consumer, FinTech"
Accelmed,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.accelmed.com,"Cybersecurity, Healthcare, Information Technology, Medical Device"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Access Venture Partners,Venture Fund,SeedSeries A,www.accessvp.com,"E-Commerce, Cryptocurrency, Blockchain, PropTech, SaaS, Marketplace, B2B, B2C"
Access Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.accessventures.org,"Cryptocurrency, Blockchain, Mobile, FinTech, InsurTech, Software, Developer Tools, Information Technology, Big Data, Analytics, ClimateTech, CleanTech"
Accomplice,Venture Fund,"Pre-SeedSeed,Series A",www.accomplice.co,"Travel, Computer, Cybersecurity, SaaS, Big Data, Analytics, Software, Consumer, Market Research, HR Tech, Events, Entertainment, Media, Artificial Intelligence, Machine Learning, AI, ML, Enterprise, Advertising, AdTech, E-Commerce, Marketing, MarTech, RetailTech, Sports, Cryptocurrency, Blockchain, FinTech, AudioTech, Customer Service, Information Technology, EdTech, Developer Tools, PropTech, Meeting Software, Healthcare, InsurTech, B2B, Supply Chain, Tech, Logistics, CloudTech, Food, Beverage, Medical, Device"
Acequia Capital (AceCap),Venture Fund,"SeedSeries A,Series B",http://acecap.com/,"CloudTech, Software, Big Data, Analytics, Marketing, MarTech, Sales, Hardware, Artificial Intelligence, Machine Learning, AI, ML, Advanced Materials, SaaS, Cybersecurity, Enterprise, BioTech, Healthcare, Health & Wellness, Information Technology, Developer Tools, E-Commerce, RetailTech, Consumer, Manufacturing, FinTech, PropTech, CRM, Future of Work, Logistics, Transportation, Energy, ClimateTech, CleanTech"
Acero Capital,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.acerovc.com,"Software, Mobile, SaaS, Consumer, FinTech"
ACME Capital,Venture Fund,"Pre-SeedSeed,Series A",www.acme.vc,"E-Sports, Gaming, Software, Artificial Intelligence, Machine Learning, AI, ML, Information Technology, SaaS, Consumer, RestaurantTech, Travel"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Acre Venture Partners,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.acre.vc,"B2B, E-Commerce, Enterprise, Food and Beverage, ClimateTech, CleanTech, SaaS, Software, Supply Chain, Tech, Healthcare, AgTech, FarmTech, Bio, Medical, Device"
Acrew Capital,Venture Fund,SeedSeries A,www.acrewcapital.com,"Artificial Intelligence, Machine Learning, AI, ML, FinTech, Big Data, Analytics, Cybersecurity, E-Commerce, SaaS, Future of Work"
Acronym Venture Capital,Venture Fund,SeedSeries A,https://acronymvc.com/,"Enterprise, SaaS, FinTech, PropTech, E-Commerce, Consumer, D2C"
Act One Ventures,Venture Fund,Seed,"http://www.actoneventures.c
om","Computer, Hardware, RetailTech, Software, Information Technology, SaaS, Advertising, AdTech, Big Data, Analytics, Marketing, MarTech, E-Commerce, FinTech, Construction, Tech, Developer Tools, Enterprise, Artificial Intelligence, Machine Learning, AI, ML"
Act Venture Capital,Venture Fund,"SeedSeries A,Series BSeries C,Series D","http://www.actventure.capita
l","Healthcare, Health & Wellness"
Activant Capital,Venture Fund,Series BSeries C,www.activantcapital.com,"Artificial Intelligence, Machine Learning, AI, ML, E-Commerce, FinTech, Healthcare, Infrastructure, IoT, Internet of Things, SaaS, Supply Chain, Tech, Telecommunications, TMT"
Activate Capital Partners,Venture Fund,"Series BSeries C,Series D",www.activatecp.com,"Energy, Oil & Gas, ClimateTech, CleanTech, PropTech, Enterprise, GovTech, Big Data, Analytics, IoT, Internet of Things, Software, Logistics, Productivity, Supply Chain, Tech, Artificial Intelligence, Machine Learning, AI, ML, FinTech, Consumer, Professional Services, Information Technology, InsurTech"
Activate Venture Partners,Venture Fund,"SeedSeries A,Series BSeries C,Series D",https://www.activatevp.com/,"Artificial Intelligence, Machine Learning, AI, ML, Healthcare, Health & Wellness, Big Data, Analytics, Information, Technology"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Active Capital,Venture Fund,Pre-SeedSeed,www.activecapital.com,"CloudTech, Artificial Intelligence, Machine Learning, AI, ML, Cryptocurrency, Blockchain, SaaS, Telecommunications, TMT"
Active Impact Investments,Venture Fund,"SeedSeries A,Series B","https://www.activeimpactinv
estments.com/","ClimateTech, CleanTech, Software"
Adage Capital Management,Family Office,"SeedSeries A,Series BSeries C,Series D","http://www.adagecapital.co
m","Artificial Intelligence, Machine Learning, AI, ML, Software, Healthcare, Health & Wellness, BioTech"
Adams Capital Management,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.acm.com,"Software, Mobile, SaaS, Consumer, FinTech"
Adams Street Partners,Venture Fund,"SeedSeries A,Series BSeries C,Series D","https://www.adamsstreetpart
ners.com/","Healthcare, Marketplace, HR Tech, Big Data, Analytics, Information Technology, PropTech, Software, Cybersecurity, Mobile, PaaS, BioTech, Enterprise, SaaS, Artificial Intelligence, Machine Learning, AI, ML, Consumer, CRM, Entertainment, Media, Marketing, MarTech"
Adapt,Venture Fund,"Pre-SeedSeed,Series A",www.adaptvc.co,"Health & Wellness, Healthcare, Consumer, Delivery, Food and Beverage, HR Tech, Software, Computer, CRM, Mobile, Productivity, Entertainment, Media"
Adara Ventures,Venture Fund,"SeedSeries A,Series B",http://www.adara.vc,"Artificial Intelligence, Machine Learning, AI, ML, B2B, B2C, CloudTech, E-Commerce, FinTech, SaaS"
Addition,Venture Fund,"Pre-SeedSeed,Series A",www.addition.com,"Big Data, Analytics, Software, CloudTech, Information, Technology, Artificial Intelligence, Machine Learning, AI, ML, Computer, Advertising, AdTech, SaaS, Developer Tools, Robotics, Consumer, Healthcare, InsurTech, Energy, ClimateTech, CleanTech"
Adit Ventures,Venture Fund,"SeedSeries A,Series BSeries C","https://www.aditventures.co
m","Telecommunications, TMT"
Adit Ventures,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.aditventures.com,"CloudTech, Information Technology, Software"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
Adjuvant Capital,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.adjuvantcapital.com,"Software, Mobile, SaaS, Consumer, FinTech"
Adobe,Corporate VC,"Series BSeries C,Series D",http://www.adobe.com,"Advertising, AdTech, Big Data, Analytics, Marketing, MarTech, SaaS, CloudTech, Collaboration, Productivity, Tools"
Advance Venture Partners,Venture Fund,"Pre-SeedSeed,Series A",www.avp.vc,"Artificial Intelligence, Machine Learning, AI, ML, Big Data, Analytics, Developer Tools, Advertising, AdTech, Marketing, MarTech, InsurTech, PropTech"
Advanced Technology Ventures,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D",www.atvcapital.com,"Software, Mobile, SaaS, Consumer, FinTech"
Advantage Capital,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series DSeries C",www.advantagecap.com,"AgTech, FarmTech, ClimateTech, CleanTech, E-Commerce, Healthcare, Impact Investing, IoT, Internet of Things, Life Science, Manufacturing, Oil & Gas, SaaS, Telecommunications, TMT, B2B"
AE Industrial Partners,Venture Fund,Series CSeries D,http://www.aeroequity.com/,"SpaceTech, Transportation, Energy, ClimateTech, CleanTech"
Affinity Capital Management,Venture Fund,"Pre-SeedSeed,Series ASeries B,Series CSeries D","www.affinitycapitalmanagem
ent.com","Software, Mobile, SaaS, Consumer, FinTech"
Affirm,Corporate VC,Series ASeries B,https://affirm.com,"Fin, Tech"
AFI Capital Partners,Venture Fund,"SeedSeries A,Series B","http://www.aficapitalpartners
.com/","Manufacturing, SaaS, Telecommunications, TMT"
Afore Capital,Venture Fund,Seed,www.afore.vc,"Artificial Intelligence, Machine Learning, AI, ML, CloudTech, Big Data, Analytics, Developer Tools, Information Technology, E-Commerce, Computer, Cybersecurity, Software, Consumer, InsurTech"
AFSquare,Venture Fund,"Pre-SeedSeed,Series A",www.afsquare.com,"Software, Mobile, SaaS, Consumer, FinTech"
Ag Startup Engine,Venture Fund,"Pre-SeedSeed,Series A",www.agstartupengine.com,"BioTech, Healthcare, Pharmaceuticals"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
AgFunder,Venture Fund,"SeedSeries A,Series CSeries D,Series B",www.agfunder.com,"AgTech, FarmTech, Big Data, Analytics, ClimateTech, CleanTech, RestaurantTech, IoT, Internet of Things, Life Science, Robotics, SaaS"
Agilent Technologies,Corporate VC,Series BSeries C,http://www.agilent.com,"BioTech, Life Science, Healthcare"
Agility Capital,Venture Fund,"SeedSeries A,Series B",http://www.agilitycap.com,"Delivery, Food and Beverage, RestaurantTech"
Agya Ventures,Venture Fund,"Pre-SeedSeed,Series A",https://agyaventures.com/,"Virtual Reality, AR/VR, Construction, Tech, IoT, Internet of Things, Micro-Mobility, PropTech"
Ahren Innovation Capital,Venture Fund,"SeedSeries A,Series BSeries C,Series D","http://www.ahreninnovation
capital.com/","Healthcare, Food and Beverage"
AI Fund,Accelerator,"Pre-SeedSeed,Series A",www.aifund.ai,"Artificial Intelligence, Machine Learning, AI, ML, SaaS"
Air Street Capital,Venture Fund,"SeedSeries A,Series B",https://www.airstreet.com,"Big Data, Analytics, Artificial Intelligence, Machine Learning, AI, ML, Software, Creator Economy"
Airbus Ventures,Venture Fund,"Pre-SeedSeed,Series A",www.airbusventures.vc,"Artificial Intelligence, Machine Learning, AI, ML, Transportation, Logistics, Robotics, SpaceTech, BioTech, Healthcare, IoT, Internet of Things, Life Science, Travel, Collaboration, Software, CloudTech, Mobile, SaaS, Big Data, Analytics"
AirTree Ventures,Venture Fund,"SeedSeries A,Series B",http://www.airtree.vc,"AgTech, FarmTech, Information Technology, Productivity, SaaS, Software, E-Commerce, Developer Tools, Entertainment, Media, Big Data, Analytics"
Aisling Capital,Venture Fund,"SeedSeries A,Series BSeries C,Series D","http://www.aislingcapital.co
m","Healthcare, Medical, Device"
Akkadian Ventures,Venture Fund,Series CSeries D,http://www.akkadian.vc,"FinTech, SaaS, Advertising, AdTech, Marketing, MarTech, Big Data, Analytics, Mobile, Cybersecurity, Enterprise, Risk Management, Virtual Reality, AR/VR"
Investor Name,Fund Type,Fund Stage,Website (if available),"Fund, Focus, Sectors"
AlbionVC,Venture Fund,"SeedSeries A,Series B",https://www.albion.vc/,"Healthcare, Medical, Device"
Album VC,Venture Fund,"Pre-SeedSeed,Series A",www.album.vc,"Cybersecurity, Risk Management, SaaS, Sales, EdTech, Enterprise, Mobile, Software, Marketing, MarTech, CMS, Legal Tech, Productivity, Consumer, Information Technology, Food and Beverage, Hospitality, HR Tech, PropTech, E-Commerce, FinTech, Marketplace, RestaurantTech, Virtual Reality, AR/VR"
